Outline,WBS,Activity ID,Task Name,Duration (working days),Start,Finish,Predecessors,Total Float (d),Free Float (d),Critical,Resources,Note
2.1.2,2.1,A2015,Strip topsoil 150 and stockpile for the concealment layer,3,01-12-26,03-12-26,A2010,8,0,,Excavator;Tipper,93 m3 retained — do not cart away
2.1.3,2.1,A2020,"Site levelling, temporary haul road and hardstanding",4,04-12-26,08-12-26,A2015,8,0,,Excavator;Dozer/grader;Vibratory roller,
2.2,2.2,,Temporary works and excavation protection,17,09-12-26,29-12-26,,,,,,SUMMARY
2.2.1,2.2,A2025,Design and approval of excavation support and slope treatment,10,11-12-26,22-12-26,A1090,0,0,YES,Site Engineer (Civil),soil zone above rockhead only
2.2.2,2.2,A2030,Surface water cut-off drains and interceptor around the excavation,4,09-12-26,12-12-26,A2020,8,8,,Unskilled gang,keeps run-off out of a 6.8 m deep cut
2.2.3,2.2,A2035,"Excavation edge protection, barriers, signage and access ladders",3,26-12-26,29-12-26,A2040SS+2,30,30,,Unskilled gang;Safety Officer,IS 3764
2.3,2.3,,Bulk excavation — main shelter,27,23-12-26,23-01-27,,,,,,SUMMARY
2.3.1,2.3,A2040,Excavation in soil and weathered overburden to rockhead,4,23-12-26,28-12-26,"A2030,A2025",0,0,YES,Excavator;Tipper,344 m3 at mean rockhead (-)1.750
2.3.2,2.3,A2045,"Rock excavation by hydraulic breaker, (-)1.750 to (-)4.000",9,29-12-26,07-01-27,A2040,0,0,YES,Excavator;Rock breaker;Tipper,NO BLASTING — sentry post and existing works within influence
2.3.3,2.3,A2050,"Rock excavation by hydraulic breaker, (-)4.000 to (-)6.800",11,08-01-27,20-01-27,A2045,0,0,YES,Excavator;Rock breaker;Tipper,994 m3 total rock at 60 m3/day
2.3.4,2.3,A2055,Excavation for the covered entry stairwell approach,5,14-01-27,19-01-27,A2050SS+5,160,134,,Excavator;Tipper,
2.3.5,2.3,A2060,"Excavation in rock for the sump pit, to (-)8.100",3,21-01-27,23-01-27,A2050,0,0,YES,Excavator;Rock breaker,
2.4,2.4,,Dewatering,113,29-12-26,11-05-27,,,,,,SUMMARY
2.4.1,2.4,A2065,Install and commission the construction dewatering system,3,29-12-26,31-12-26,A2040,73,0,,Dewatering pumps;Plumber gang,
2.4.2,2.4,A2070,Dewatering — continuous through the substructure works,110,01-01-27,11-05-27,A2065,73,69,,Dewatering pumps,"level-of-effort activity; large float is correct, it is not a real slack"
2.5,2.5,,Formation preparation and approval,11,25-01-27,06-02-27,,,,,,SUMMARY
2.5.1,2.5,A2075,"Trim, dress and clean the formation; remove loose rock",4,25-01-27,29-01-27,"A2050,A2060",0,0,YES,Unskilled gang;Excavator,
2.5.2,2.5,A2080,Inspect for red-bole and vesicular seams; over-excavate and replace with M15,4,30-01-27,03-02-27,A2075,0,0,YES,Site Engineer (Civil);Concrete gang,master A.6 — a single red-bole seam sizes the mat
2.5.3,2.5,A2085,HOLD POINT: formation inspection and approval by the Engineer,2,04-02-27,05-02-27,"A2080,A2035",0,0,YES,QA/QC Engineer,H-01
2.5.4,2.5,A2090,"MILESTONE: excavation complete, formation approved",0,06-02-27,06-02-27,A2085,0,0,YES,,M-04
3,3,,MAIN UNDERGROUND SHELTER — SUBSTRUCTURE,92,06-02-27,25-05-27,,,,,,SUMMARY
3.1,3.1,,"Blinding and external tanking, horizontal",11,06-02-27,18-02-27,,,,,,SUMMARY
3.1.1,3.1,A3010,Blinding PCC M15 100 thk under the mat,3,06-02-27,09-02-27,A2090,0,0,YES,Concrete gang,14.2 m3
3.1.2,3.1,A3015,Blinding PCC M15 to the sump pit,1,06-02-27,06-02-27,A2090,2,2,,Concrete gang,
3.1.3,3.1,A3020,"External tanking WP-01 — horizontal, on the blinding",5,10-02-27,15-02-27,"A3010,A3015,A1174",0,0,YES,Waterproofing gang,the tank must be continuous
3.1.4,3.1,A3025,Protection layer to the horizontal tanking,2,16-02-27,17-02-27,A3020,0,0,YES,Waterproofing gang,
3.1.5,3.1,A3030,HOLD POINT: tanking integrity inspection before covering,1,18-02-27,18-02-27,A3025,0,0,YES,QA/QC Engineer,H-02
3.2,3.2,,Mat foundation and sump pit,34,19-02-27,30-03-27,,,,,,SUMMARY
3.2.1,3.2,A3035,Sump pit SU-01 — formwork and reinforcement below the mat,4,19-02-27,23-02-27,A3030,13,13,,Bar bender gang;Carpenter gang,
3.2.2,3.2,A3040,Mat reinforcement — bottom curtain T16 @ 150 each way,4,19-02-27,23-02-27,"A3030,A1172",0,0,YES,Bar bender gang,14.67 t in the mat group
3.2.3,3.2,A3045,"Wall starter bars, 900 leg into the mat; kickers set out",3,24-02-27,26-02-27,A3040,0,0,YES,Bar bender gang;Surveyor,lap 800 = 50 phi above a 150 kicker
3.2.4,3.2,A3050,"Mat links T12 @ 250 x 250 grid, chairs and spacers",3,27-02-27,02-03-27,A3045,0,0,YES,Bar bender gang,
3.2.5,3.2,A3055,Mat reinforcement — top curtain T16 @ 150 each way,4,03-03-27,06-03-27,A3050,0,0,YES,Bar bender gang,
3.2.6,3.2,A3060,Mat edge formwork and U-bars; waterstops at the kicker,3,08-03-27,10-03-27,A3055,0,0,YES,Carpenter gang;Bar bender gang,
3.2.7,3.2,A3065,"Cast-in items — drainage BW-01, sleeves, earth pits, EMP straps",3,08-03-27,10-03-27,A3055,0,0,YES,Plumber gang;Electrician gang,
3.2.8,3.2,A3070,"HOLD POINT: mat reinforcement, cover and cast-in inspection",1,11-03-27,11-03-27,"A3060,A3065,A3035",0,0,YES,QA/QC Engineer;Structural Consultant,H-03
3.2.9,3.2,A3075,Concrete mat 600 M35 and sump pit — single continuous pour,2,12-03-27,13-03-27,A3070,0,0,YES,Concrete gang;Concrete pump;Transit mixer,81.8 + 3.7 m3
3.2.10,3.2,A3080,Curing of the mat — 14 days continuous,14,15-03-27,30-03-27,A3075,1,1,,Unskilled gang,IS 456 Cl. 13.5; mass section
3.2.11,3.2,A3085,MILESTONE: mat foundation cast,0,15-03-27,15-03-27,A3075,213,213,,,M-05
3.3,3.3,,"Perimeter walls W1–W4 and protective walls W5, W6, W7",41,18-03-27,05-05-27,,,,,,SUMMARY
3.3.1,3.3,A3090,"Wall reinforcement W1–W4 — both curtains T16 @ 150 each face, each way",12,18-03-27,31-03-27,A3075+3,0,0,YES,Bar bender gang,24.7 t in the wall group; 150 spacing is EMP-driven
3.3.2,3.3,A3095,"Wall reinforcement W5, W6, W7 incl. blast door jambs and header",6,25-03-27,31-03-27,A3090SS+6,0,0,YES,Bar bender gang,4-T20 each jamb each face; header 400 x 1100
3.3.3,3.3,A3100,"Haunch reinforcement 500 x 500, diagonal T20 @ 150, wall/mat junction",3,20-03-27,23-03-27,A3090SS+2,7,7,,Bar bender gang,
3.3.4,3.3,A3105,Set and align the BLAST DOOR FRAMES in W6 and W7; weld to the cage,4,01-04-27,05-04-27,"A3095,A1120",2,2,,Welding set;Site Engineer (Civil),EMP continuity — the frame is welded to the cage
3.3.5,3.3,A3110,"Concealed conduits, sleeves and penetrations cast into the walls",5,01-04-27,06-04-27,A3095,1,1,,Electrician gang;Plumber gang,
3.3.6,3.3,A3115,"Wall formwork — lift 1, (-)6.100 to (-)4.500",6,01-04-27,07-04-27,"A3095,A3100,A3080",0,0,YES,Carpenter gang,
3.3.7,3.3,A3120,"HOLD POINT: wall reinforcement, frames and cover inspection — lift 1",1,08-04-27,08-04-27,"A3115,A3105,A3110,A9010",0,0,YES,QA/QC Engineer;Structural Consultant,H-04
3.3.8,3.3,A3125,"Concrete walls — lift 1, M35",2,09-04-27,10-04-27,A3120,0,0,YES,Concrete gang;Concrete pump;Transit mixer,
3.3.9,3.3,A3130,Curing lift 1; strike vertical formwork after 24 h minimum,7,12-04-27,19-04-27,A3125,0,0,YES,Unskilled gang;Carpenter gang,IS 456 Table 11
3.3.10,3.3,A3135,"Wall formwork — lift 2, (-)4.500 to (-)2.900",6,15-04-27,21-04-27,A3130-4,0,0,YES,Carpenter gang,
3.3.11,3.3,A3140,HOLD POINT: wall reinforcement and cover inspection — lift 2,1,22-04-27,22-04-27,"A3135,A3155",0,0,YES,QA/QC Engineer,H-05
3.3.12,3.3,A3145,"Concrete walls — lift 2, M35",2,23-04-27,24-04-27,A3140,0,0,YES,Concrete gang;Concrete pump;Transit mixer,
3.3.13,3.3,A3150,Curing lift 2 and strike wall formwork,7,26-04-27,04-05-27,A3145,0,0,YES,Unskilled gang;Carpenter gang,
3.3.14,3.3,A3155,Construction joint preparation — two waterstops and welded EMP strap,3,12-04-27,14-04-27,A3125,6,6,,Waterproofing gang;Welding set,joints at ~6 m; reinforcement fully continuous
3.3.15,3.3,A3160,MILESTONE: perimeter and protective walls complete,0,05-05-27,05-05-27,A3150,170,170,,,M-06
3.4,3.4,,Main staircase — lower flights (FROZEN geometry),18,05-05-27,25-05-27,,,,,,SUMMARY
3.4.1,3.4,A3165,"Main staircase — formwork to flights 1 and 2 and landings L1, L2",5,05-05-27,10-05-27,A3150,113,0,,Carpenter gang,"FROZEN: 24R @ 170.8333, tread 280, 3 flights x 8"
3.4.2,3.4,A3170,"Main staircase — reinforcement, flights T12 @ 150, landings T12 @ 125",4,11-05-27,14-05-27,A3165,113,0,,Bar bender gang,
3.4.3,3.4,A3175,"Main staircase — concrete flights 1 and 2 and landings, M35",2,15-05-27,17-05-27,A3170,113,0,,Concrete gang,
3.4.4,3.4,A3180,"Main staircase — curing and strike, lower flights",7,18-05-27,25-05-27,A3175,113,47,,Unskilled gang;Carpenter gang,"gives permanent access into the excavation, removing a temporary stair"
4,4,,MAIN UNDERGROUND SHELTER — PRESSURE SLAB,98,05-05-27,26-08-27,,,,,,SUMMARY
4.1,4.1,,Falsework and formwork,12,05-05-27,18-05-27,,,,,,SUMMARY
4.1.1,4.1,A4010,"Falsework and soffit deck to the pressure slab, 3.200 m height",8,05-05-27,13-05-27,A3150,0,0,YES,Carpenter gang;Scaffolding,104 m2 of deck; IS 14687
4.1.2,4.1,A4015,"Edge formwork, stair void and escape shaft box-outs",4,14-05-27,18-05-27,A4010,0,0,YES,Carpenter gang,
4.2,4.2,,"Reinforcement, openings and cast-in items",30,19-05-27,22-06-27,,,,,,SUMMARY
4.2.1,4.2,A4020,Pressure slab — bottom curtain T25 @ 150 each way,6,19-05-27,25-05-27,A4015,0,0,YES,Bar bender gang,20.5 t in the roof group; THE governing element
4.2.2,4.2,A4025,Opening trimmers — stair void 6-T25 top and bottom; re-entrant corners 4-T25 at 45 degrees,4,26-05-27,29-05-27,A4020,0,0,YES,Bar bender gang,UFC 3-340-02 §4-27
4.2.3,4.2,A4030,Escape shaft collar trimmers 5-T25 each side/face/direction; hoops and radials,4,31-05-27,03-06-27,A4025,0,0,YES,Bar bender gang,
4.2.4,4.2,A4035,Local thickenings 900 to 1200 at the shafts and the void free edge,3,01-06-27,03-06-27,A4030SS+1,16,16,,Carpenter gang;Bar bender gang,3.3 m3 extra concrete
4.2.5,4.2,A4040,Band beneath headhouse wall HW3 — 4-T25 extra top and bottom in a 1200 band,2,31-05-27,01-06-27,A4025,18,18,,Bar bender gang,HW3 has no wall below it
4.2.6,4.2,A4045,Links T12 4-leg @ 250 in the end 1500; 2-leg @ 300 mid,5,04-06-27,09-06-27,A4030,0,0,YES,Bar bender gang,IS 4991 Cl. 10.3.1.1 — no dynamic increase on shear
4.2.7,4.2,A4050,Pressure slab — top curtain T25 @ 150 each way,6,10-06-27,16-06-27,A4045,0,0,YES,Bar bender gang,
4.2.8,4.2,A4055,"Wall/roof haunches 500 x 500, diagonal T20 @ 150",3,12-06-27,15-06-27,A4050SS+2,6,6,,Bar bender gang,
4.2.9,4.2,A4060,"Cast-in — blast valve sleeves, duct and pipe penetrations, EMP straps",5,17-06-27,22-06-27,A4050,0,0,YES,Plumber gang;Electrician gang;Welding set,
4.2.10,4.2,A4065,Escape shaft collar starter bars,2,17-06-27,18-06-27,A4050,3,3,,Bar bender gang,
4.2.11,4.2,A4067,Concealed electrical conduits and boxes cast into the slab,4,07-06-27,10-06-27,A4045SS+2,10,10,,Electrician gang,
4.3,4.3,,"Concrete, curing and striking",26,23-06-27,22-07-27,,,,,,SUMMARY
4.3.1,4.3,A4070,"HOLD POINT: pressure slab pre-pour inspection — reinforcement, cover, cast-ins",2,23-06-27,24-06-27,"A4055,A4060,A4065,A4035,A4040,A4067",0,0,YES,QA/QC Engineer;Structural Consultant,H-06
4.3.2,4.3,A4075,"Concrete pressure slab 900 M35 — single continuous pour, 112 m3",2,25-06-27,26-06-27,A4070,0,0,YES,Concrete gang;Concrete pump;Transit mixer,continuous pour preferred inside the protective envelope
4.3.3,4.3,A4080,Curing of the pressure slab — 14 days continuous,14,28-06-27,13-07-27,A4075,0,0,YES,Unskilled gang,
4.3.4,4.3,A4085,MILESTONE: pressure slab cast — the key structural milestone,0,28-06-27,28-06-27,A4075,26,0,,,M-07
4.3.5,4.3,A4090,Strike soffit formwork and props — props to remain 14 days,5,14-07-27,19-07-27,A4080,0,0,YES,Carpenter gang,IS 456 Table 11: slab spanning over 4.5 m
4.3.6,4.3,A4095,"Make good, hack and prepare the soffit",3,20-07-27,22-07-27,A4090,0,0,YES,Unskilled gang,
4.4,4.4,,Main staircase — upper flight and guarding,33,20-07-27,26-08-27,,,,,,SUMMARY
4.4.1,4.4,A4110,Main staircase — flight 3 to the top of the pressure slab (-)2.000,6,20-07-27,26-07-27,"A4090,A3180",66,23,,Carpenter gang;Bar bender gang;Concrete gang,
4.4.2,4.4,A4115,Main staircase — handrails and guarding 1100 high,4,23-08-27,26-08-27,"A4110,A12035",43,43,,Welding set;Unskilled gang,NBC 2016 Part 4
4.5,4.5,,Internal partitions W8,6,20-07-27,26-07-27,,,,,,SUMMARY
4.5.1,4.5,A4100,"Internal partitions W8, 4 No., 110 thk with A252 mesh both faces",6,20-07-27,26-07-27,A4090,7,0,,Carpenter gang;Bar bender gang;Concrete gang,non-structural; 900 door gap at Y 2500–3400
5,5,,"ENTRY STRUCTURES, ESCAPE SHAFTS AND DOORS",69,28-06-27,15-09-27,,,,,,SUMMARY
5.1,5.1,,Entry headhouse,48,20-07-27,13-09-27,,,,,,SUMMARY
5.1.1,5.1,A5010,"Headhouse — wall starters, kicker and setting out on the pressure slab",3,20-07-27,22-07-27,A4090,13,0,,Bar bender gang;Surveyor,
5.1.2,5.1,A5015,"Headhouse wall reinforcement HW1–HW4, T16 @ 150 EF EW, T12 4L @ 250",6,23-07-27,29-07-27,A5010,13,0,,Bar bender gang,walls designed for 383 kPa either face — C10
5.1.3,5.1,A5020,Inner security door frame in HW2 — cast in and welded to the cage,2,30-07-27,31-07-27,A5015,13,0,,Welding set,"not blast rated, but EMP-continuous"
5.1.4,5.1,A5025,Headhouse wall formwork,5,02-08-27,06-08-27,"A5015,A5020",13,0,,Carpenter gang,
5.1.5,5.1,A5030,HOLD POINT: headhouse wall inspection,1,07-08-27,07-08-27,A5025,13,0,,QA/QC Engineer,H-07
5.1.6,5.1,A5035,Concrete headhouse walls 400 M35,1,09-08-27,09-08-27,A5030,13,0,,Concrete gang;Concrete pump,
5.1.7,5.1,A5040,Curing and strike — headhouse walls,5,10-08-27,14-08-27,A5035,13,0,,Unskilled gang;Carpenter gang,
5.1.8,5.1,A5045,Headhouse roof falsework and formwork,4,16-08-27,19-08-27,A5040,13,0,,Carpenter gang;Scaffolding,
5.1.9,5.1,A5050,Headhouse roof reinforcement T20 @ 150 EF EW; T12 4L @ 175 / 250,5,20-08-27,25-08-27,A5045,13,0,,Bar bender gang,utilisation 90 % — the most highly worked element
5.1.10,5.1,A5055,HOLD POINT: headhouse roof inspection,1,26-08-27,26-08-27,A5050,13,0,,QA/QC Engineer;Structural Consultant,H-08
5.1.11,5.1,A5060,Concrete headhouse roof 500 M35,1,27-08-27,27-08-27,A5055,13,0,,Concrete gang;Concrete pump,
5.1.12,5.1,A5065,Curing 14 days and strike — headhouse roof,14,28-08-27,13-09-27,A5060,13,0,,Unskilled gang;Carpenter gang,
5.2,5.2,,Covered entry stairwell,40,28-06-27,12-08-27,,,,,,SUMMARY
5.2.1,5.2,A5070,Compacted fill and blinding to the stepped raft,4,28-06-27,01-07-27,"A2055,A4085",26,0,,Unskilled gang;Plate compactor;Concrete gang,
5.2.2,5.2,A5075,Stepped raft 300 — reinforcement and concrete; movement joint at the headhouse,5,02-07-27,07-07-27,A5070,26,0,,Bar bender gang;Carpenter gang;Concrete gang,the ONLY movement joint — outside the protective envelope
5.2.3,5.2,A5080,Stairwell side walls and headwall — reinforcement and formwork,6,08-07-27,14-07-27,A5075,26,0,,Bar bender gang;Carpenter gang,
5.2.4,5.2,A5085,Concrete stairwell walls 250 M35,1,15-07-27,15-07-27,A5080,26,0,,Concrete gang;Concrete pump,
5.2.5,5.2,A5090,"Entry flight 12R @ 166.667/300, waist 250; top landing and platform",6,20-07-27,26-07-27,A5085+3,26,0,,Carpenter gang;Bar bender gang;Concrete gang,
5.2.6,5.2,A5095,Opening-corner U-bars at the head of the flight — bars crossed,1,20-07-27,20-07-27,A5090SS,31,5,,Bar bender gang,SP 34 Cl. 5.5
5.2.7,5.2,A5100,Entry door lintel 250 x 350 and headwall opening,2,27-07-27,28-07-27,A5090,66,11,,Bar bender gang;Concrete gang,
5.2.8,5.2,A5105,"Stairwell raking roof 250 — falsework, reinforcement and concrete",6,27-07-27,02-08-27,"A5090,A5095",26,0,,Carpenter gang;Bar bender gang;Concrete gang,
5.2.9,5.2,A5110,Curing and strike — covered entry stairwell,7,03-08-27,10-08-27,A5105,26,0,,Unskilled gang;Carpenter gang,
5.2.10,5.2,A5115,Threshold channel 300 and grating at X 8950–9250,2,11-08-27,12-08-27,A5110,39,0,,Concrete gang;Unskilled gang,
5.3,5.3,,Escape shafts ESC 1 and ESC 2,14,20-07-27,04-08-27,,,,,,SUMMARY
5.3.1,5.3,A5120,"ESC 1 collar 250 RC — reinforcement, formwork and concrete to +0.150",5,20-07-27,24-07-27,A4090,60,0,,Bar bender gang;Carpenter gang;Concrete gang,
5.3.2,5.3,A5125,"ESC 2 collar 250 RC — reinforcement, formwork and concrete to +0.700",5,26-07-27,30-07-27,A5120,60,0,,Bar bender gang;Carpenter gang;Concrete gang,
5.3.3,5.3,A5130,"Escape shaft covers, ladders and closure devices",4,31-07-27,04-08-27,A5125,60,0,,Welding set;Unskilled gang,
5.4,5.4,,"Blast doors, security door and external door",50,20-07-27,15-09-27,,,,,,SUMMARY
5.4.1,5.4,A5135,Install BLAST DOOR 1 in W6; align and test the seal,4,20-07-27,23-07-27,"A1122,A4090",51,0,,Crane;Site Engineer (Civil);Welding set,
5.4.2,5.4,A5140,Install BLAST DOOR 2 in W7; align and test the seal,4,24-07-27,28-07-27,A5135,51,44,,Crane;Site Engineer (Civil);Welding set,
5.4.3,5.4,A5145,Inner security door 900 x 2100 in HW2,2,14-09-27,15-09-27,A5065,26,26,,Unskilled gang,
5.4.4,5.4,A5150,External entry door 1000 x 2100 in the stairwell headwall,2,11-08-27,12-08-27,"A5110,A5100",55,55,,Unskilled gang,opens outward; 50 weather bar
6,6,,WATERPROOFING,117,05-05-27,17-09-27,,,,,,SUMMARY
6.1,6.1,,"External tanking, vertical",17,05-05-27,24-05-27,,,,,,SUMMARY
6.1.1,6.1,A6010,Prepare and repair the external wall faces; fillets at the mat junction,4,05-05-27,08-05-27,A3150,52,0,,Waterproofing gang,
6.1.2,6.1,A6015,"External tanking WP-01 — vertical to the wall faces, lapped to the horizontal",8,10-05-27,18-05-27,"A6010,A1174",52,0,,Waterproofing gang,265 m2
6.1.3,6.1,A6020,Protection board or screed to the vertical tanking,4,19-05-27,22-05-27,A6015,52,0,,Waterproofing gang,
6.1.4,6.1,A6025,HOLD POINT: vertical tanking inspection before backfilling,1,24-05-27,24-05-27,A6020,52,48,,QA/QC Engineer,H-09 — the last chance to see it
6.2,6.2,,Roof waterproofing and protection,11,23-07-27,04-08-27,,,,,,SUMMARY
6.2.1,6.2,A6030,Roof waterproofing WP-01 over the pressure slab; dress into openings,6,23-07-27,29-07-27,A4095,0,0,YES,Waterproofing gang,122 m2 net
6.2.2,6.2,A6035,Protection screed 100 over the roof membrane — cover layer 1,4,30-07-27,03-08-27,A6030,0,0,YES,Concrete gang,10.3 m3; also the first layer of the cover
6.2.3,6.2,A6040,HOLD POINT: roof membrane integrity test before covering,1,04-08-27,04-08-27,A6035,0,0,YES,QA/QC Engineer,H-10
6.3,6.3,,Above-ground roofs,38,05-08-27,17-09-27,,,,,,SUMMARY
6.3.1,6.3,A6045,Headhouse and stairwell roof waterproofing WP-06 and protection,4,14-09-27,17-09-27,"A5065,A5110",19,0,,Waterproofing gang,
6.3.2,6.3,A6055,MILESTONE: buried envelope watertight — tanking complete,0,05-08-27,05-08-27,"A6025,A6040",91,91,,,M-08
7,7,,"BACKFILL, ENGINEERED COVER AND OVERBURDEN",198,21-01-27,10-09-27,,,,,,SUMMARY
