CODE,GROUP,DESCRIPTION,PERFORMANCE REQUIREMENT,WHERE THE REQUIREMENT COMES FROM,CLASS
W-02,WALL,AS W-01 PLUS IMPERVIOUS FINISH TO FULL HEIGHT,"Fully impervious floor-to-soffit, continuous with the F-02 cove.","Wet areas: lavatory/medical, CBRN plant, decon airlock",[A]
W-03,WALL,"FAIR-FACE RC, SEALED","Non-dusting, washable. Impact-resistant at handling routes.","Grey zone, stair shaft",[A]
W-04,WALL,EMP ZONE 2 SHIELDED ENCLOSURE LINING,"*** SPECIALIST. Welded steel room, shielding effectiveness verified to IEEE Std 299. Its finish is subordinate to its shielding. ***",Master A.3 places an EMP Zone 2 enclosure in bay 3; K.3 records that the rebar cage gives 0 dB at 1 GHz and 'a Zone 2 welded steel room is the answer' [C],[C] requirement / [N] specification
W-05,WALL,"FAIR-FACE RC, SEALED, EXTERNAL GRADE",UV and weather resistant on exposed faces; washable internally.,Headhouse and covered stairwell,[A]
C-01,CEILING / SOFFIT,"EXPOSED RC SOFFIT, SEALED DECONTAMINABLE COATING",Applied direct to the soffit. *** NO SUSPENDED CEILING AND NO BOXING-IN ANYWHERE IN THE GAS-TIGHT ENVELOPE. ***,"Three independent reasons, all confirmed: HVAC requires every duct inspectable along its length (HV-F2); DRAINAGE requires the same of every pipe; and a ceiling void is a contamination trap that cannot be decontaminated",[A]
C-02,CEILING / SOFFIT,"EXPOSED RC SOFFIT, SEALED",As C-01 without the decontamination duty.,"Grey zone, stair shaft",[A]
C-03,CEILING / SOFFIT,"EXPOSED RC RAKING SOFFIT, SEALED, EXTERNAL GRADE",Follows the flight at 2200 clear.,Covered entry stairwell [C master A.4.7],[A]
D-01,DOOR,BLAST DOOR - PROPRIETARY,"1200 x 2100, >= 7 bar, rebound-rated, gas-tight. FINISH IS THE VENDOR'S AND IS SUBORDINATE TO THE RATING - do not overcoat a tested assembly.","Blast doors 1 and 2 in W6 and W7, THE PROTECTIVE BOUNDARY [C master A.2 / B.2]",[C] / [N] finish
D-02,DOOR,"INNER SECURITY DOOR - STEEL, NOT BLAST RATED","900 x 2100. Frame cast in and WELDED TO THE CAGE for EMP continuity, even though the leaf is not blast rated.",In HW2 at X 14450-15350 [C master A.4.6 / B.7.2],[C] / [A] finish
D-03,DOOR,EXTERNAL ENTRY DOOR - STEEL,"1000 x 2100, opens outward, threshold flush with a 50 weather bar. External-grade coating.",In the stairwell headwall at grade [C Rev F section C-C],[C] / [A] finish
D-04,DOOR,INTERNAL DOOR IN A 110 PARTITION,"900 clear in the confirmed door gap. Light, washable, no cavity.","Four W8 partitions, door gap at Y 2500-3400 [C master A.3]",[A]
D-05,DOOR,GAS-TIGHT DOOR IN W5,"Clean-side exit from the decon airlock. Gas-tight, not blast rated.",*** W5 IS CONFIRMED AS 'FIRE + GAS-TIGHT' BUT NO DOOR IS SCHEDULED IN IT ANYWHERE IN THE PROJECT. The airlock must have a clean-side exit. ENGINEER TO CONFIRM SIZE AND POSITION ***,[U]
WP-01,WATERPROOFING,"TANKING MEMBRANE - EXTERNAL, CONTINUOUS","On the blinding, turned up the external face, lapped to the roof membrane. A CONTINUOUS TANK.",R-805 [C],[C]
WP-02,WATERPROOFING,100 PROTECTION SCREED OVER THE ROOF MEMBRANE,Also the first layer of the engineered cover.,R-805 / A.7.3 [C],[C]
WP-03,WATERPROOFING,INTEGRAL CRYSTALLINE WATERPROOFING ADMIXTURE,In the concrete. The membrane is not the only line of defence.,master A.5 / R-805 [C],[C]
WP-04,WATERPROOFING,INTERNAL WET-AREA TANKING UNDER THE FINISH,"Beneath F-02 and behind W-02 in every wet area, turned up 150 and dressed to every gully and pipe sleeve.",Wet areas identified from master A.3 and the DRAINAGE package,[C]
WP-05,WATERPROOFING,TWO WATERSTOPS AT EVERY CONSTRUCTION JOINT,R-804.,R-805 [C],[C]
WP-06,WATERPROOFING,EXTERNAL-GRADE ROOF WATERPROOFING AND PROTECTION,Headhouse and covered stairwell roofs stand proud of the berm; membrane and protection screed [C Rev F section C-C],[C],[C]
