Type,Ref,Category / Activity,Hazard / Risk,L,I,Controls / Response,Reference / Owner
RISK,R-03,Ground,Rock excavation quantity exceeds the estimate because rockhead is shallower than the mean assumed.,M,M,"The BOQ gives the quantity at both bounds — 944 to 1043 m³ — so the range is priced, not discovered. Roughly one extra day on the excavation.",Planning Engineer
RISK,R-04,Procurement,"Blast door FRAMES arrive late. The frames must be welded into the W6 and W7 cages before those walls are poured, so a late frame stops the wall and the whole downstream structure.",M,H,Ordered on day one with a 75-day lead time and 19 days of float; manufacturing progress reported monthly; the frame is a separate delivery from the leaf so it is not delayed by leaf testing. This is the single largest procurement risk on the job.,Project Manager
RISK,R-05,Procurement,"CBRN filter trains, blast valves or the EMP enclosure arrive late.",M,M,All ordered at mobilisation; each carries over 100 days of float; the installation activities sit after the structure is complete so a slip is absorbed rather than propagated.,Project Manager
RISK,R-06,Design,"Conflict C21 — the CBRN filter duty was stated as 2 x 250 m³/h in master A.3 and as 300 m³/h in nine places on sheet S-06, and 250 fails S-06's own 264 m³/h criterion. RULED AT 300 BY RC1, 10 Sep 2026 (master Part H.14 / K.1 U13): A.3 has been CORRECTED to 2 x 300 m³/h. CLOSED.",H,M,"The risk is retired. The enquiry activity stays programmed ahead of order placement, which is good practice regardless, and the owner's own cost estimate independently prices 2 x 300 m³/h.",Designer
RISK,R-07,Design,"Conflict C16 — the roof/platform junction, 250 against 500. RULED AT 250 BY RC1, 10 Sep 2026 (master Part H.14): the A.4.7 clause that said 500 has been CORRECTED. It was one clause against four parts of the project and against the geometry - the headhouse occupies Y 200-6000 and the platform is at Y 6000-7500, so they do not touch. CLOSED.",M,M,"The risk is retired. The covered entry stairwell roof is 250 throughout, which is what Part B designed, A.7.6 loaded, F.2 registered and every drawing already showed.",Designer
RISK,R-08,Design,"No electrical design package exists. The scope is confirmed but no circuit, cable, luminaire, distribution board or earth-electrode schedule does.",H,H,Every electrical quantity is declared 'to be verified from final measurement'. The electrical design must be issued before A11025; the programme allows for it but cannot absorb an indefinite delay. Raised at mobilisation as the largest single information gap.,Designer
RISK,R-09,Design,"SENTRY POST BRICK MASONRY (SP-B1) — the lintel design and the wall tie detail did not exist when this risk was raised, and the seismic weight of the frame changes when RC infill becomes brickwork. TWO OF THE THREE ARE NOW CLOSED: revision SP-B2 (10 September 2026, master A.4.8 and Part H.12) designs lintel L1 and the tie detail. THE SEISMIC RE-CHECK, WM-V6, IS STILL OPEN.",H,M,"Lintel and tie design requested before A8135; the seismic re-check is referred to the structural discipline. The change reduces the infill line load from 13.000 to about 9.9 kN/m, which points the existing V_b = 73.18 kN in the conservative direction — but that is a direction, not a verification.",Designer / Structural Consultant
RISK,R-10,Design,The Rev F panels are described as BALLISTIC infill. Brick masonry does not give the same ballistic protection.,H,M,Recorded as a consequence of the instructed change so that the decision is visible. If ballistic performance is required it must be reinstated by another means; this package does not assume it has been.,Project Manager / Client
RISK,R-11,Design,"No site plan or ground model exists. The berm volume, access route, hardstanding, several drainage runs and the soakaway positions cannot be determined.",H,M,"All affected items carried as 'to be verified from final measurement'. A site plan is requested at mobilisation; the external works sit at the end of the programme, which buys time but not an unlimited amount.",Designer
RISK,R-12,Construction,"The 112 m³ continuous pressure slab pour cannot be completed without a cold joint — plant breakdown, supply interruption or weather.",M,H,"Standby pump and standby transit mixers arranged; the pour is planned as a single shift with defined fallback joint positions agreed with the designer IN ADVANCE, complete with waterstop and EMP strap details, so that an unplanned stop does not become an unplanned detail.",Site Engineer (Civil)
RISK,R-13,Construction,"Reinforcement congestion at 150 spacing both curtains prevents proper compaction, particularly at the haunches, trimmer bands and blast door jambs.",M,H,The 150 spacing is an EMP requirement and must NOT be relaxed on site. Mock-up of the most congested zone before the pour; mix designed for workability at 0.45 w/c; small-diameter vibrators and a rehearsed placing sequence.,Site Engineer (Civil) / QA/QC Engineer
RISK,R-14,Construction,Damage to the external tanking membrane during backfilling.,M,H,Protection board or screed applied and inspected before any backfill; a hold point at the vertical tanking specifically because it can never be seen again; compaction plant kept off the membrane until the protection screed has cured.,QA/QC Engineer
RISK,R-15,Construction,"SENTRY POST masonry quality — plumb, joint filling and the interface with the frame.",M,M,"Bricks soaked before laying; gauge boxes for mortar; hold point on line, level, plumb and joint thickness at each storey; the top course wedged only after initial shrinkage so the panel does not attract frame load.",QA/QC Engineer
RISK,R-16,Materials,Brick supply — availability of class 10 modular bricks to IS 1077 of consistent size and strength.,M,L,"Source approved and tested BEFORE order (A1176 precedes A8130); the whole requirement is only about 6 400 bricks, so a single approved batch covers the job. Changing source mid-job requires retesting.",Storekeeper / QA/QC
RISK,R-17,Materials,Cement or reinforcement supply interruption during a continuous pour period.,M,M,Reinforcement ordered at 77.3 t including wastage with mill certificates; cement stocked to cover the largest pour plus a margin; stacking to IS 4082 to prevent deterioration.,Storekeeper
RISK,R-18,Weather,"Monsoon — Pune, June to September. Deep excavation, tanking and cover placement are all weather sensitive.",H,M,Sequenced so that the deep excavation (Dec–Jan) and the external tanking are out of the monsoon; surface water cut-off drains installed before excavation; productivity allowances inside the affected durations rather than an artificial non-working calendar.,Planning Engineer
RISK,R-19,Programme,Festival holidays are not in the calendar because their dates move.,H,L,"A 10-working-day contingency activity (A14098) sits before handover for exactly this purpose. It is stated, not hidden inside durations.",Planning Engineer
RISK,R-20,Programme,The 14-day prop period on the pressure slab is questioned on site and props are struck early.,L,H,IS 456 Table 11 is explicit for a slab spanning over 4.5 m; this one spans 5.000 m clear. Striking requires a signed permit. The 19 days are in the baseline and are not available for compression.,Site Engineer (Civil)
RISK,R-21,Quality,"Percolation test fails — likely on basalt — and the soak pits cannot work. SK-01 is already 2.3 % short of its own stated requirement (conflict C19, CLOSED by RC1 - SK-01 widened to 2.200 dia, 24.19 m2).",H,M,"The percolation test is programmed early (A1085) and is a hold point before the soak pits are built. If it fails, an alternative disposal route is a design decision, not a site one, and the programme flags it early enough to be taken.",Designer
RISK,R-22,Testing,EMP shielding effectiveness survey fails to reach 80 dB.,M,H,"The rebar cage alone gives 0 dB at 1 GHz — the master says so. The answer is the welded steel Zone 2 room plus disciplined penetration protection and joint straps, all of which are inspected as they are built rather than tested for the first time at the end.",Specialist subcontractor / QA/QC
RISK,R-23,Testing,Gas-tightness and overpressure test fails.,M,H,Every penetration through the envelope is recorded and sealed as built; the blast door seals are proved before the envelope test; the test is programmed with rectification time and float ahead of handover.,Site Engineer (Services)
RISK,R-24,Interface,Damage to the completed sentry post by main-works traffic during the remaining eight months of the programme.,M,L,"The sentry post carries 118 days of float and is deliberately started only after the rock breaking finishes, which shortens its exposure. Its surround and apron are built at the end with the external works.",Site Engineer (Civil)
RISK,R-25,Access,Constrained site access on an operational military installation; restricted working hours or short-notice closures.,M,M,Access control established first; deliveries booked; the programme uses a six-day week which leaves Sunday available for recovery without overtime premium on the critical path.,Project Manager
